trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
27,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.1903314089193543,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
27,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.1830078575327062,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
27,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.1830078575327063,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
28,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5964828011320202,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
28,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4291482720907206,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
28,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.36441529889999413,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
28,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.21805871182447328,0.875,0.875,0.875,0
28,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2743652015307203,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
28,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2460099721206818,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
28,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.24600997212068132,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
29,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6165971810509187,0.375,0.375,0.375,0
29,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4091641859659561,0.5,0.5,0.5,0
29,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.37343956760256936,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
