trial,matrix_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,signal_type,method,nrmse,precision,recall,f1,exact_support
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.5895769230435434,0.375,0.375,0.375,0
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5389224459179978,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.24125123154808853,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.24038426143668296,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.21237800277793664,0.75,0.75,0.75,0
21,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.2123780027779365,0.75,0.75,0.75,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6550511527531204,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.50047254967389,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5262393765546758,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.2207901416200698,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.22328366903163857,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.19815212036940086,0.875,0.875,0.875,0
22,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.20591087727958696,0.875,0.875,0.875,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5434370449882918,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.37863208529797265,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.44101770437776056,0.5,0.5,0.5,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.18414842797643938,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.3065167147305338,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.3821551979129383,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
23,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.36417317112542513,0.625,0.625,0.625,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6200595969884182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.5667698844859381,0.5,0.5,0.5,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5614276454834782,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.25551596482628064,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.21685471418371255,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.19255792627862692,0.875,0.875,0.875,0
24,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.19255792627862728,0.875,0.875,0.875,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6950550336575304,0.375,0.375,0.375,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.42116849135368567,0.5,0.5,0.5,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4482893784167797,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.18750846027434828,0.875,0.875,0.875,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.18751184989589142,0.875,0.875,0.875,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.18904324477699225,0.875,0.875,0.875,0
25,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.19199699985442384,0.875,0.875,0.875,0
26,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.363803438837606,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
26,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.4683933047058954,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
26,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.38723667403802625,0.5,0.5,0.5,0
26,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.2785550735898886,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
26,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.31128851893351334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
