trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
25,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5392820822385775,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
25,OMP,256,128,55,0.01,gaussian,0.03887794953317448,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
25,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.0416693094359183,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
25,CoSaMP,256,128,55,0.01,gaussian,0.5541707455829122,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
26,CorrelationTopK,256,128,55,0.01,gaussian,0.6116209169367884,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
26,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5078329786798167,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
26,OMP,256,128,55,0.01,gaussian,0.05095704494267127,0.8181818181818182,0.8181818181818182,0.8181818181818182,0
26,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.05248193622894414,0.8181818181818182,0.8181818181818182,0.8181818181818182,0
26,CoSaMP,256,128,55,0.01,gaussian,0.2676202318659607,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
27,CorrelationTopK,256,128,55,0.01,gaussian,0.5510547234549396,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
27,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5122347682196297,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
27,OMP,256,128,55,0.01,gaussian,0.09355506414319102,0.8727272727272727,0.8727272727272727,0.8727272727272727,0
27,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.09471677041721514,0.8727272727272727,0.8727272727272727,0.8727272727272727,0
27,CoSaMP,256,128,55,0.01,gaussian,0.47088531837358355,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
28,CorrelationTopK,256,128,55,0.01,gaussian,0.694697460630856,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
28,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6714517730258344,0.36363636363636365,0.36363636363636365,0.36363636363636365,0
28,OMP,256,128,55,0.01,gaussian,0.47914558938523005,0.6,0.6,0.6,0
28,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.4714010709526302,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
28,CoSaMP,256,128,55,0.01,gaussian,0.6506298570031077,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
29,CorrelationTopK,256,128,55,0.01,gaussian,0.7870883390144561,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
29,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5679015093563365,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
29,OMP,256,128,55,0.01,gaussian,0.04170437886607429,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
29,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.05018907025563415,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
29,CoSaMP,256,128,55,0.01,gaussian,0.5422719372611177,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
30,CorrelationTopK,256,128,55,0.01,gaussian,0.5511711763117666,0.4,0.4,0.4000000000000001,0
30,LearnedSupportMLP,256,128,55,0.01,gaussian,0.4572988245607309,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
30,OMP,256,128,55,0.01,gaussian,0.046447293082671204,0.8181818181818182,0.8181818181818182,0.8181818181818182,0
30,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.05589027014167252,0.8181818181818182,0.8181818181818182,0.8181818181818182,0
30,CoSaMP,256,128,55,0.01,gaussian,0.5549071759266054,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
31,CorrelationTopK,256,128,55,0.01,gaussian,0.542133853386597,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
31,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5363233071162422,0.509090909090909,0.509090909090909,0.509090909090909,0
31,OMP,256,128,55,0.01,gaussian,0.02400989536589316,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
31,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.024377628379522533,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
31,CoSaMP,256,128,55,0.01,gaussian,0.34692108233243885,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
32,CorrelationTopK,256,128,55,0.01,gaussian,0.7051607788126777,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
32,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6719950711420929,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
32,OMP,256,128,55,0.01,gaussian,0.4797923506335824,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
32,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.4814797766007676,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
32,CoSaMP,256,128,55,0.01,gaussian,0.6101749395293528,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
33,CorrelationTopK,256,128,55,0.01,gaussian,0.7354209002904584,0.34545454545454546,0.34545454545454546,0.34545454545454546,0
33,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6221878845488739,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
33,OMP,256,128,55,0.01,gaussian,0.02242723155280904,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
33,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.02135810565418269,0.9636363636363636,0.9636363636363636,0.9636363636363636,0
33,CoSaMP,256,128,55,0.01,gaussian,0.4029907743936187,0.509090909090909,0.509090909090909,0.509090909090909,0
34,CorrelationTopK,256,128,55,0.01,gaussian,0.623304562067732,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
34,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5659005863028671,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
34,OMP,256,128,55,0.01,gaussian,0.016924784009068283,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
