method,n,m,k,noise_std,matrix_type,signal_type,nrmse,precision,recall,f1,exact_support,trial
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.45933458699398433,0.75,0.75,0.75,0,17
OMP,256,128,32,0.01,coherent,sparse,0.011113666600883,1.0,1.0,1.0,1,18
CoSaMP,256,128,32,0.01,coherent,sparse,0.011113666600883396,1.0,1.0,1.0,1,18
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.45205047128401127,0.65625,0.65625,0.65625,0,18
OMP,256,128,32,0.01,coherent,sparse,0.013791377431581726,0.96875,0.96875,0.96875,0,19
CoSaMP,256,128,32,0.01,coherent,sparse,0.021589571830385276,0.90625,0.90625,0.90625,0,19
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.42030805900706536,0.78125,0.78125,0.78125,0,19
OMP,256,128,32,0.01,coherent,compressible,0.2544369946745513,0.71875,0.71875,0.71875,0,0
CoSaMP,256,128,32,0.01,coherent,compressible,0.2879446857676722,0.6875,0.6875,0.6875,0,0
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.5320887046015881,0.5625,0.5625,0.5625,0,0
OMP,256,128,32,0.01,coherent,compressible,0.30531381315635897,0.65625,0.65625,0.65625,0,1
CoSaMP,256,128,32,0.01,coherent,compressible,0.23761086843904394,0.71875,0.71875,0.71875,0,1
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.46299123870714864,0.59375,0.59375,0.59375,0,1
OMP,256,128,32,0.01,coherent,compressible,0.3168825746201242,0.65625,0.65625,0.65625,0,2
CoSaMP,256,128,32,0.01,coherent,compressible,0.1916585902358057,0.75,0.75,0.75,0,2
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.5156671038771983,0.6875,0.6875,0.6875,0,2
OMP,256,128,32,0.01,coherent,compressible,0.23953350542526672,0.71875,0.71875,0.71875,0,3
CoSaMP,256,128,32,0.01,coherent,compressible,0.20360160262684113,0.78125,0.78125,0.78125,0,3
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.41970820126633895,0.625,0.625,0.625,0,3
OMP,256,128,32,0.01,coherent,compressible,0.1655788875765615,0.84375,0.84375,0.84375,0,4
CoSaMP,256,128,32,0.01,coherent,compressible,0.17513841743497166,0.78125,0.78125,0.78125,0,4
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.4116602954598466,0.65625,0.65625,0.65625,0,4
OMP,256,128,32,0.01,coherent,compressible,0.23490469225681884,0.75,0.75,0.75,0,5
CoSaMP,256,128,32,0.01,coherent,compressible,0.20878293846372184,0.8125,0.8125,0.8125,0,5
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.3926074479999597,0.71875,0.71875,0.71875,0,5
OMP,256,128,32,0.01,coherent,compressible,0.17839701258575957,0.875,0.875,0.875,0,6
CoSaMP,256,128,32,0.01,coherent,compressible,0.169623789298107,0.875,0.875,0.875,0,6
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.472756978019678,0.6875,0.6875,0.6875,0,6
OMP,256,128,32,0.01,coherent,compressible,0.18347544785403572,0.84375,0.84375,0.84375,0,7
CoSaMP,256,128,32,0.01,coherent,compressible,0.1761974795210797,0.84375,0.84375,0.84375,0,7
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.5250334672822329,0.65625,0.65625,0.65625,0,7
OMP,256,128,32,0.01,coherent,compressible,0.18123829208957057,0.8125,0.8125,0.8125,0,8
CoSaMP,256,128,32,0.01,coherent,compressible,0.21423801936002945,0.75,0.75,0.75,0,8
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.5759609670697368,0.59375,0.59375,0.59375,0,8
OMP,256,128,32,0.01,coherent,compressible,0.1616996633593352,0.90625,0.90625,0.90625,0,9
CoSaMP,256,128,32,0.01,coherent,compressible,0.1571344899486561,0.90625,0.90625,0.90625,0,9
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.4236841078579366,0.75,0.75,0.75,0,9
OMP,256,128,32,0.01,coherent,compressible,0.21899030910552578,0.71875,0.71875,0.71875,0,10
CoSaMP,256,128,32,0.01,coherent,compressible,0.2021569011434611,0.6875,0.6875,0.6875,0,10
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.455179168594478,0.5,0.5,0.5,0,10
OMP,256,128,32,0.01,coherent,compressible,0.17204553525794,0.84375,0.84375,0.84375,0,11
CoSaMP,256,128,32,0.01,coherent,compressible,0.19195654051650451,0.75,0.75,0.75,0,11
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.48223420701040853,0.65625,0.65625,0.65625,0,11
OMP,256,128,32,0.01,coherent,compressible,0.14348308062918036,0.875,0.875,0.875,0,12
CoSaMP,256,128,32,0.01,coherent,compressible,0.1312515056473623,0.90625,0.90625,0.90625,0,12
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.41955228183448606,0.65625,0.65625,0.65625,0,12
OMP,256,128,32,0.01,coherent,compressible,0.24519381648222174,0.71875,0.71875,0.71875,0,13
CoSaMP,256,128,32,0.01,coherent,compressible,0.20155840911862663,0.78125,0.78125,0.78125,0,13
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.4283804701747688,0.6875,0.6875,0.6875,0,13
OMP,256,128,32,0.01,coherent,compressible,0.158102754006852,0.875,0.875,0.875,0,14
CoSaMP,256,128,32,0.01,coherent,compressible,0.1670605358546341,0.90625,0.90625,0.90625,0,14
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.46363582007221915,0.75,0.75,0.75,0,14
OMP,256,128,32,0.01,coherent,compressible,0.18981880471007243,0.8125,0.8125,0.8125,0,15
CoSaMP,256,128,32,0.01,coherent,compressible,0.17738480582757513,0.84375,0.84375,0.84375,0,15
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.46641990878685075,0.5625,0.5625,0.5625,0,15
OMP,256,128,32,0.01,coherent,compressible,0.18665078871129254,0.875,0.875,0.875,0,16
CoSaMP,256,128,32,0.01,coherent,compressible,0.2029334798181001,0.8125,0.8125,0.8125,0,16
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.41311989327788273,0.65625,0.65625,0.65625,0,16
OMP,256,128,32,0.01,coherent,compressible,0.22024136981894699,0.75,0.75,0.75,0,17
CoSaMP,256,128,32,0.01,coherent,compressible,0.14120617772824695,0.8125,0.8125,0.8125,0,17
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.4340591725631465,0.59375,0.59375,0.59375,0,17
OMP,256,128,32,0.01,coherent,compressible,0.21798227367511497,0.84375,0.84375,0.84375,0,18
CoSaMP,256,128,32,0.01,coherent,compressible,0.17543762902158339,0.90625,0.90625,0.90625,0,18
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.5155481294479792,0.6875,0.6875,0.6875,0,18
OMP,256,128,32,0.01,coherent,compressible,0.2169384682787889,0.75,0.75,0.75,0,19
CoSaMP,256,128,32,0.01,coherent,compressible,0.16287643717711037,0.9375,0.9375,0.9375,0,19
ISTA_LASSO,256,128,32,0.01,coherent,compressible,0.5370924248623413,0.5625,0.5625,0.5625,0,19
OMP,256,128,55,0.01,gaussian,sparse,0.029627252329150568,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,0
CoSaMP,256,128,55,0.01,gaussian,sparse,0.6800963600398426,0.5272727272727272,0.5272727272727272,0.5272727272727272,0,0
ISTA_LASSO,256,128,55,0.01,gaussian,sparse,0.5286079834934402,0.6545454545454545,0.6545454545454545,0.6545454545454545,0,0
OMP,256,128,55,0.01,gaussian,sparse,0.025739520103319362,0.9454545454545454,0.9454545454545454,0.9454545454545454,0,1
CoSaMP,256,128,55,0.01,gaussian,sparse,0.4111838130521764,0.5454545454545454,0.5454545454545454,0.5454545454545454,0,1
ISTA_LASSO,256,128,55,0.01,gaussian,sparse,0.31277732164264466,0.7090909090909091,0.7090909090909091,0.7090909090909091,0,1
OMP,256,128,55,0.01,gaussian,sparse,0.1594574481724807,0.8,0.8,0.8000000000000002,0,2
CoSaMP,256,128,55,0.01,gaussian,sparse,0.3732310937775838,0.6181818181818182,0.6181818181818182,0.6181818181818182,0,2
ISTA_LASSO,256,128,55,0.01,gaussian,sparse,0.2732834142377561,0.7818181818181819,0.7818181818181819,0.7818181818181819,0,2
OMP,256,128,55,0.01,gaussian,sparse,0.1162016875856983,0.8181818181818182,0.8181818181818182,0.8181818181818182,0,3
